PO4 (ug/L),growth rate (d-1)
8,1.70E-01
1.2,1.50E-02
9.20E-01,2.20E-02
7.9,2.20E-02
3.9,2.60E-02
7.90E-01,2.70E-02
2.1,3.70E-02
8.00E-01,4.20E-02
3.80E-01,4.50E-02
3.7,5.30E-02
3.90E-01,5.70E-02
6.70E-01,5.90E-02
1.8,8.80E-02
3.8,1.40E-01
2,1.40E-01
4.1,1.30E-01
8,1.30E-01
32,1.20E-01
32.1,1.40E-01
7.9,1.70E-01
7.9,1.80E-01
16,2.00E-01
16.3,2.10E-01
16.2,2.10E-01
16.2,2.40E-01
31.9,2.00E-01
32.4,1.90E-01
64,2.40E-01
64.1,2.20E-01
64.1,2.10E-01
64.2,1.90E-01
1.30E+02,2.40E-01
1.30E+02,2.30E-01
1.30E+02,2.20E-01
1.30E+02,2.10E-01
2.60E+02,2.70E-01
2.60E+02,2.60E-01
2.60E+02,2.50E-01
2.60E+02,2.30E-01
