Chlamydomonas sp. ,,,Chlorella sp.,,,Cryptomonas sp.,,,Oocystis pusilla ,,,Scenedesmus quadricauda,,,Sphaerocystis schroeteri,,,Nitzschia acicularis ,,,Nitzschia Iinearis ,,,Nitzschia palea ,,,Synedra radians,,,Synedra rumpens,
PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1),,PO4  (uM),growth rate (d-1)
1.40E-02,1.20E-01,,9.30E-03,3.40E-02,,4.30E-03,4.10E-02,,1.40E-02,4.60E-02,,3.60E-02,4.10E-02,,1.80E-02,4.70E-02,,5.10E-03,8.40E-03,,3.10E-02,8.70E-02,,2.10E-02,3.90E-02,,6.70E-03,3.80E-01,,2.50E-02,1.90E-01
2.10E-02,2.80E-01,,1.20E-02,1.10E-01,,1.40E-02,8.70E-02,,1.30E-02,8.00E-02,,1.90E-02,7.20E-02,,3.40E-02,1.30E-01,,1.20E-02,1.50E-01,,4.20E-02,1.40E-01,,1.60E-02,1.30E-01,,1.10E-02,5.10E-01,,8.60E-03,2.00E-01
2.00E-02,3.20E-01,,1.10E-02,1.40E-01,,2.40E-02,1.20E-01,,1.20E-02,1.10E-01,,2.70E-02,1.50E-01,,5.10E-01,1.80E-01,,5.20E-03,2.10E-01,,3.20E-02,1.60E-01,,2.10E-02,1.60E-01,,2.60E-02,5.30E-01,,2.40E-02,3.00E-01
2.40E-02,4.20E-01,,2.00E-02,1.90E-01,,6.10E-03,1.70E-01,,3.50E-02,2.20E-01,,2.30E-02,2.40E-01,,3.70E-02,4.10E-01,,2.60E-02,2.50E-01,,2.70E-02,1.80E-01,,1.10E-02,1.90E-01,,2.60E-02,5.90E-01,,2.30E-02,3.50E-01
3.30E-02,4.70E-01,,4.30E-02,4.00E-01,,2.10E-02,2.10E-01,,2.70E-02,2.70E-01,,1.70E-02,2.70E-01,,3.10E-01,5.30E-01,,1.20E-02,3.50E-01,,3.30E-02,2.70E-01,,5.00E-01,7.70E-01,,2.00E-02,6.20E-01,,1.30E-03,3.80E-01
3.30E-02,5.10E-01,,1.00E-02,4.40E-01,,9.00E-03,2.60E-01,,2.90E-01,3.10E-01,,1.90E-02,3.60E-01,,1,5.10E-01,,4.90E-01,2.60E-01,,5.20E-01,4.40E-01,,5.00E-01,8.10E-01,,5.00E-01,7.20E-01,,5.90E-03,4.50E-01
2.90E-01,6.30E-01,,1.30E-02,5.10E-01,,3.00E-01,3.30E-01,,3.10E-01,3.70E-01,,3.10E-01,3.90E-01,,1,6.90E-01,,9.80E-01,2.90E-01,,5.10E-01,6.00E-01,,1,8.60E-01,,5.10E-01,7.50E-01,,4.90E-01,7.00E-01
1.00E-01,6.70E-01,,3.00E-01,6.50E-01,,1,3.60E-01,,5.00E-01,5.20E-01,,3.00E-01,6.00E-01,,5.10E-01,6.60E-01,,2,2.00E-01,,1,5.10E-01,,1,8.90E-01,,1,7.40E-01,,4.90E-01,7.40E-01
3.00E-01,7.30E-01,,5.10E-01,7.60E-01,,5.00E-01,5.20E-01,,5.10E-01,5.90E-01,,5.00E-01,5.60E-01,,3.20E-01,7.40E-01,,2,3.30E-01,,2,5.60E-01,,2,7.90E-01,,9.90E-01,6.80E-01,,9.80E-01,7.50E-01
5.10E-01,7.90E-01,,3.00E-01,8.30E-01,,3.00E-01,4.50E-01,,1,5.30E-01,,5.10E-01,6.50E-01,,2,4.50E-01,,4.70E-01,4.60E-01,,2,5.30E-01,,2,9.10E-01,,2,6.50E-01,,9.90E-01,9.20E-01
1.00E-01,9.10E-01,,5.00E-01,9.20E-01,,4.90E-01,4.60E-01,,1,4.70E-01,,1,5.40E-01,,4.9,3.00E-01,,9.80E-01,4.90E-01,,4.9,5.70E-01,,4.9,7.70E-01,,2,6.10E-01,,2,6.80E-01
5.00E-01,9.50E-01,,9.90E-01,6.80E-01,,1.00E-01,5.80E-01,,2,5.20E-01,,1,4.90E-01,,4.9,2.30E-01,,4.9,4.00E-01,,4.9,6.20E-01,,4.9,9.20E-01,,4.9,3.70E-01,,2,7.10E-01
2,8.00E-01,,9.90E-01,9.30E-01,,2,6.10E-01,,2,6.40E-01,,2,7.80E-01,,,,,4.9,4.10E-01,,,,,,,,4.9,3.20E-01,,4.9,6.20E-01
2,7.40E-01,,2,7.10E-01,,2,4.40E-01,,4.9,6.50E-01,,2,8.20E-01,,,,,,,,,,,,,,,,,4.9,7.90E-01
4.9,8.60E-01,,2,8.70E-01,,4.9,5.20E-01,,4.9,4.90E-01,,4.9,7.30E-01,,,,,,,,,,,,,,,,,,
4.9,7.00E-01,,4.9,7.10E-01,,4.9,5.50E-01,,,,,4.9,4.50E-01,,,,,,,,,,,,,,,,,,
,,,4.9,8.30E-01,,4.9,5.60E-01,,,,,,,,,,,,,,,,,,,,,,,,
